name,fight_record,nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,timestamp
Magomed Ankalaev,21-1-1 (1 NC),,"6'3""",205lbs.,"75""",Orthodox,"Jun02,1992",3.66,52%,2.46,57%,0.80,22%,87%,0.0,2025-07-24 10:17:07.375392
Gadzhimurad Antigulov,20-8-0,,"5'11""",205lbs.,"70""",Orthodox,"Feb09,1987",2.08,55%,4.21,40%,5.08,36%,0%,1.4,2025-07-24 10:17:07.375392
Adam Antolin,12-3-0,Captain Chaos,"5'5""",125lbs.,"63""",Orthodox,"Feb28,1982",5.73,52%,5.00,69%,0.00,0%,100%,0.0,2025-07-24 10:17:07.375392
Angelo Antonio,1-4-0,,--,205lbs.,--,Orthodox,--,1.09,50%,7.64,50%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Vanilto Antunes,16-7-0,,"6'0""",170lbs.,"72""",Orthodox,"Dec28,1994",5.49,48%,14.27,43%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Azunna Anyanwu,14-5-0,Zulu,"6'1""",251lbs.,--,Orthodox,"Aug05,1981",2.47,42%,2.47,69%,0.65,100%,0%,0.0,2025-07-24 10:17:07.375392
Shinsho Anzai,10-3-0,Animal,"5'7""",170lbs.,"70""",Orthodox,"Dec01,1985",3.23,58%,3.75,45%,1.83,16%,75%,0.0,2025-07-24 10:17:07.375392
Jin Aoi,14-6-1,,"5'6""",145lbs.,"68""",Orthodox,"Jan21,1997",1.60,29%,5.80,51%,0.00,0%,71%,0.0,2025-07-24 10:17:07.375392
Shinya Aoki,39-7-0 (1 NC),Tobikan Judan,"5'11""",154lbs.,--,Southpaw,"May09,1983",0.97,58%,1.25,58%,2.54,41%,60%,4.0,2025-07-24 10:17:07.375392
Aoriqileng,25-12-0 (1 NC),The Mongolian Murderer,"5'7""",135lbs.,"69""",Orthodox,"Jun25,1993",4.65,49%,5.46,48%,1.20,46%,58%,0.0,2025-07-24 10:17:07.375392
Josh Appelt,15-7-0,,"5'10""",255lbs.,--,Southpaw,"Jun19,1983",1.35,40%,11.50,32%,0.00,0%,33%,0.0,2025-07-24 10:17:07.375392
Erik Apple,10-3-0,,"6'0""",170lbs.,--,Orthodox,"Aug26,1977",0.00,0%,0.54,81%,0.00,0%,0%,8.1,2025-07-24 10:17:07.375392
Kenji Arai,15-15-5,,"5'10""",145lbs.,--,Southpaw,"Oct05,1979",8.79,27%,10.29,39%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Romie Aram,7-1-0,,"5'10""",170lbs.,--,Orthodox,"Dec02,1977",1.80,35%,2.83,50%,2.50,62%,83%,0.0,2025-07-24 10:17:07.375392
Felipe Arantes,18-10-1 (2 NC),Sertanejo,"5'8""",135lbs.,"73""",Orthodox,"Feb09,1988",2.37,45%,2.66,64%,0.93,47%,41%,0.7,2025-07-24 10:17:07.375392
Igor Araujo,25-9-0 (1 NC),,"6'1""",170lbs.,"77""",Orthodox,"Dec06,1980",1.52,42%,2.86,49%,0.86,15%,22%,0.6,2025-07-24 10:17:07.375392
Viviane Araujo,13-7-0,Vivi,"5'4""",125lbs.,"68""",Orthodox,"Nov21,1986",3.84,47%,4.83,55%,1.72,43%,75%,0.6,2025-07-24 10:17:07.375392
Julio Arce,19-6-0,,"5'7""",145lbs.,"70""",Southpaw,"Oct27,1989",4.36,36%,3.05,68%,0.46,28%,96%,0.3,2025-07-24 10:17:07.375392
Art Arciniega,15-7-0,King Arthur,"5'8""",145lbs.,--,,"Oct15,1981",1.53,46%,2.73,51%,0.00,0%,50%,1.0,2025-07-24 10:17:07.375392
Alice Ardelean,10-7-0,,"5'3""",115lbs.,"62""",Orthodox,"Apr19,1992",6.73,44%,5.04,57%,1.00,50%,87%,0.0,2025-07-24 10:17:07.375392
Tristan Arenal,7-4-0,,--,155lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Gabriel Arges,0-0-0,,--,170lbs.,--,,"Jan29,1993",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Dan Argueta,9-3-0 (2 NC),The Determined,"5'7""",135lbs.,"68""",Southpaw,"Aug13,1993",2.48,43%,3.44,50%,4.36,35%,55%,1.4,2025-07-24 10:17:07.375392
Reza Arianto,5-0-0,The Crazy Lion,--,155lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Hashem Arkhagha,6-1-0,,"6'2""",185lbs.,"75""",Orthodox,"Sep11,1989",1.84,44%,8.97,43%,0.00,0%,50%,0.0,2025-07-24 10:17:07.375392
Andrei Arlovski,34-24-0 (2 NC),The Pitbull,"6'3""",240lbs.,"77""",Orthodox,"Feb04,1979",3.82,45%,3.22,57%,0.37,35%,76%,0.2,2025-07-24 10:17:07.375392
Garrett Armfield,10-5-0,,"5'6""",135lbs.,"70""",Orthodox,"Oct09,1996",5.35,53%,3.64,56%,1.10,50%,64%,0.6,2025-07-24 10:17:07.375392
Joey Armstrong,5-2-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Austin Arnett,16-6-0,,"6'0""",145lbs.,"72""",Orthodox,"Oct22,1991",4.52,41%,6.38,62%,0.44,18%,57%,0.2,2025-07-24 10:17:07.375392
Ricardo Arona,14-5-0,The Brazilian Tiger,"5'11""",205lbs.,--,Orthodox,"Jul17,1978",1.66,48%,1.15,57%,2.41,48%,58%,1.2,2025-07-24 10:17:07.375392
Eli Aronov,6-1-0,The Israeli Tank,"5'10""",185lbs.,"72""",Orthodox,"Jun06,1996",8.92,68%,6.49,38%,12.16,100%,0%,0.0,2025-07-24 10:17:07.375392
Chalid Arrab,7-3-0,Die Faust,"5'11""",205lbs.,--,Orthodox,"May28,1975",1.56,34%,1.63,56%,3.05,75%,37%,1.0,2025-07-24 10:17:07.375392
Akbarh Arreola,23-11-1,El Caballero,"5'10""",155lbs.,"71""",Southpaw,"Jan14,1983",2.32,45%,4.01,56%,1.07,100%,33%,0.4,2025-07-24 10:17:07.375392
Matt Arroyo,3-3-0,No Regard,"5'10""",170lbs.,"72""",Orthodox,"Sep01,1982",1.62,47%,2.01,58%,2.12,36%,100%,5.3,2025-07-24 10:17:07.375392
Antonio Arroyo,9-5-0,,"6'3""",185lbs.,"73""",Orthodox,"Jul01,1989",2.82,66%,2.02,50%,1.14,41%,41%,0.2,2025-07-24 10:17:07.375392
Gilles Arsene,1-1-0,,"5'9""",190lbs.,--,Southpaw,--,0.06,10%,2.45,32%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Veta Arteaga,3-1-0,,"5'7""",125lbs.,--,,--,3.20,36%,1.92,65%,0.00,0%,40%,0.0,2025-07-24 10:17:07.375392
Cesar Arzamendia,8-3-0,Goku,"5'11""",155lbs.,--,Orthodox,"Jan31,1991",5.37,45%,5.20,56%,7.32,75%,0%,2.4,2025-07-24 10:17:07.375392
Kai Asakura,21-5-0,,"5'8""",125lbs.,"69""",Orthodox,"Oct31,1993",2.40,58%,4.52,38%,0.00,0%,57%,0.0,2025-07-24 10:17:07.375392
Teddy Ash,14-5-0,Bear,"6'1""",185lbs.,"73""",Switch,"Dec27,1989",7.27,61%,6.80,28%,0.00,0%,100%,0.0,2025-07-24 10:17:07.375392
Arman Ashimov,11-3-1,Mustafa Ozturik,"5'6""",125lbs.,--,,"Jan14,1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Yanal Ashmouz,8-2-0,Red Fox,"5'9""",155lbs.,"69""",Orthodox,"Mar31,1995",2.88,50%,4.78,50%,3.24,38%,64%,0.0,2025-07-24 10:17:07.375392
Asjabharan,7-6-0,,"5'6""",135lbs.,--,,"Jul31,1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Askar Askar,11-1-0,AK-47,"5'7""",145lbs.,"69""",Orthodox,"Aug19,1994",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Askar Askarov,14-1-1,Bullet,"5'6""",125lbs.,"67""",Orthodox,"Oct09,1992",3.05,54%,2.80,57%,2.60,24%,66%,0.4,2025-07-24 10:17:07.375392
Cyril Asker,9-4-0,Silverback,"6'0""",247lbs.,"74""",Orthodox,"Dec24,1985",3.35,39%,5.82,35%,4.41,62%,100%,0.9,2025-07-24 10:17:07.375392
Khusein Askhabov,23-1-0,Nohcho,"5'8""",145lbs.,"69""",Orthodox,"Feb13,1995",2.00,26%,4.13,56%,0.00,0%,66%,0.0,2025-07-24 10:17:07.375392
Scott Askham,14-4-0,,"6'3""",185lbs.,"75""",Southpaw,"May20,1988",3.03,46%,3.52,52%,0.44,18%,65%,0.7,2025-07-24 10:17:07.375392
Ben Askren,19-2-0 (1 NC),Funky,"5'11""",170lbs.,"73""",Orthodox,"Jul18,1984",3.64,49%,5.66,36%,4.33,55%,0%,0.9,2025-07-24 10:17:07.375392
Ibo Aslan,14-2-0,The Last Ottoman,"6'3""",205lbs.,"77""",Orthodox,"Apr23,1996",7.84,50%,4.43,63%,0.00,0%,83%,0.0,2025-07-24 10:17:07.375392
Tom Aspinall,15-3-0,,"6'5""",256lbs.,"78""",Orthodox,"Apr11,1993",8.07,67%,2.89,65%,3.27,100%,100%,1.6,2025-07-24 10:17:07.375392
Bruno Assis,8-4-0,Brunao,"6'2""",185lbs.,--,Orthodox,"May23,1992",1.27,43%,3.20,36%,2.00,50%,66%,1.0,2025-07-24 10:17:07.375392
Junior Assuncao,16-6-0,,"5'9""",145lbs.,"72""",Orthodox,"Jun24,1981",3.31,62%,2.06,44%,2.43,24%,66%,0.7,2025-07-24 10:17:07.375392
Raphael Assuncao,28-10-0,,"5'5""",135lbs.,"66""",Orthodox,"Jul19,1982",3.22,42%,2.50,66%,1.65,39%,78%,0.2,2025-07-24 10:17:07.375392
Michael Aswell,10-3-0,The Texas Kid,"5'8""",155lbs.,"69""",Orthodox,"Sep27,2000",9.10,44%,7.93,54%,0.00,0%,57%,0.0,2025-07-24 10:17:07.375392
Bazigit Atajev,17-1-0,Volk,"6'1""",230lbs.,--,Orthodox,--,0.87,41%,3.14,49%,1.00,33%,0%,0.0,2025-07-24 10:17:07.375392
Rich Attonito,10-5-0,The Raging Bull,"5'10""",170lbs.,"72""",Orthodox,"Jun16,1977",2.28,47%,2.13,59%,0.74,37%,75%,0.0,2025-07-24 10:17:07.375392
Olivier Aubin-Mercier,11-5-0,The Canadian Gangster,"5'9""",155lbs.,"70""",Southpaw,"Feb23,1989",2.48,51%,2.97,55%,2.36,33%,70%,0.5,2025-07-24 10:17:07.375392
Pat Audinwood,11-2-1,Awesomely Awesome,"6'0""",155lbs.,--,Orthodox,"Apr16,1986",1.17,12%,4.31,41%,0.80,50%,0%,0.0,2025-07-24 10:17:07.375392
Jose Augusto,6-2-0 (1 NC),Gugu,"6'3""",251lbs.,--,,"Mar28,1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Marcus Aurelio,22-10-0,Maximus,"5'10""",155lbs.,"74""",Orthodox,"Aug18,1973",1.42,33%,2.27,59%,1.69,27%,27%,1.3,2025-07-24 10:17:07.375392
David Avellan,2-1-0,,"5'9""",185lbs.,--,Orthodox,--,3.33,25%,10.00,57%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Blas Avena,8-7-0 (1 NC),The Disciple,"6'0""",170lbs.,"74""",Orthodox,"Jun30,1983",2.34,47%,3.36,43%,2.37,80%,50%,1.8,2025-07-24 10:17:07.375392
Levi Avera,18-15-0,,"6'1""",170lbs.,--,,"May17,1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Anthony Avila,13-5-0,,"5'7""",145lbs.,--,,"Dec29,1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Chris Avila,5-4-0,,"5'10""",145lbs.,--,Orthodox,"Jan16,1993",2.37,30%,4.17,48%,0.00,0%,46%,0.0,2025-07-24 10:17:07.375392
Julia Avila,9-4-0,Raging Panda,"5'7""",135lbs.,"68""",Orthodox,"May11,1988",2.81,42%,3.28,55%,0.63,37%,52%,0.2,2025-07-24 10:17:07.375392
Saad Awad,20-9-0,Assassin,"5'11""",155lbs.,--,,"Jun07,1983",2.13,26%,1.87,60%,0.50,16%,100%,0.5,2025-07-24 10:17:07.375392
Javy Ayala,10-5-0,Eye Candy,"6'1""",265lbs.,--,,"Aug20,1988",0.83,25%,5.00,33%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Jessin Ayari,16-6-0,,"6'0""",155lbs.,"73""",Orthodox,"May31,1992",3.53,37%,3.59,58%,0.00,0%,50%,0.3,2025-07-24 10:17:07.375392
Abu Azaitar,14-4-1,Captain Morocco,"5'9""",185lbs.,"76""",Orthodox,"Mar10,1986",4.38,43%,4.32,51%,1.00,37%,42%,0.0,2025-07-24 10:17:07.375392
Ottman Azaitar,13-3-0,Bulldozer,"5'8""",155lbs.,"71""",Switch,"Feb20,1990",4.43,44%,4.11,52%,0.00,0%,100%,0.0,2025-07-24 10:17:07.375392
Luiz Azeredo,15-10-0,,"5'9""",154lbs.,--,Orthodox,"Jun10,1976",2.16,39%,2.76,57%,1.07,50%,45%,0.3,2025-07-24 10:17:07.375392
Luciano Azevedo,17-9-1,,"6'3""",161lbs.,--,Orthodox,"Jun25,1981",0.76,45%,1.97,27%,2.28,11%,0%,0.0,2025-07-24 10:17:07.375392
Hunter Azure,9-2-0,,"5'8""",145lbs.,"69""",Orthodox,"Mar02,1992",3.92,53%,2.08,58%,1.97,34%,67%,1.3,2025-07-24 10:17:07.375392
Niklas Backstrom,11-3-0 (1 NC),,"6'1""",145lbs.,--,Orthodox,"Aug22,1989",1.12,41%,3.65,40%,2.92,80%,72%,2.2,2025-07-24 10:17:07.375392
Seth Baczynski,20-14-0,The Polish Pistola,"6'3""",170lbs.,"75""",Orthodox,"Oct26,1981",3.08,31%,3.14,51%,0.89,16%,48%,0.8,2025-07-24 10:17:07.375392
Abdul Azeem Badakhshi,13-3-0,The Afghan Lion,--,145lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Ryan Bader,23-5-0,Darth,"6'2""",205lbs.,"74""",Orthodox,"Jun07,1983",2.82,43%,1.39,71%,3.37,44%,80%,0.4,2025-07-24 10:17:07.375392
Izabela Badurek,6-3-0,,"5'5""",115lbs.,--,Orthodox,"Jul11,1991",3.74,71%,4.90,32%,1.75,12%,100%,0.0,2025-07-24 10:17:07.375392
Miguel Baeza,10-4-0,Caramel Thunder,"6'2""",170lbs.,"74""",Orthodox,"Aug23,1992",4.09,49%,5.92,46%,0.36,22%,54%,2.0,2025-07-24 10:17:07.375392
Ali Bagautinov,15-6-0,Puncher,"5'4""",125lbs.,"65""",Orthodox,"Jun10,1985",2.85,42%,3.09,52%,2.51,36%,65%,0.3,2025-07-24 10:17:07.375392
Mehdi Baghdad,11-5-0,The Sultan,"6'1""",155lbs.,--,Orthodox,"Apr13,1985",3.13,30%,4.56,46%,0.00,0%,33%,0.0,2025-07-24 10:17:07.375392
Melsik Baghdasaryan,8-3-0,The Gun,"5'9""",145lbs.,"70""",Southpaw,"Jan28,1992",5.04,59%,3.14,56%,0.00,0%,72%,0.0,2025-07-24 10:17:07.375392
Siyar Bahadurzada,24-8-1,The Great,"5'11""",170lbs.,"73""",Orthodox,"Apr17,1984",2.91,40%,3.23,49%,1.32,61%,62%,0.3,2025-07-24 10:17:07.375392
Ignacio Bahamondes,17-6-0,La Jaula,"6'3""",155lbs.,"75""",Orthodox,"Aug27,1997",6.55,45%,4.33,56%,0.00,0%,75%,0.4,2025-07-24 10:17:07.375392
Bahatebole Batebolati,10-1-1,Lion King,"5'8""",170lbs.,"71""",Southpaw,"Sep12,1997",4.02,45%,4.83,61%,1.34,66%,100%,0.0,2025-07-24 10:17:07.375392
Shamar Bailey,16-11-0,,"5'9""",155lbs.,"75""",Southpaw,"Sep22,1982",1.56,20%,3.91,69%,1.50,33%,37%,0.0,2025-07-24 10:17:07.375392
Jordan Bailey,6-3-0,,"5'9""",145lbs.,--,,--,1.74,40%,0.29,0%,4.35,100%,0%,4.3,2025-07-24 10:17:07.375392
Scott Baker,1-1-0,,"6'0""",210lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Bryan Baker,18-5-0,The Beast,"6'3""",185lbs.,--,Orthodox,"Oct13,1985",1.78,52%,2.83,45%,0.44,50%,37%,0.9,2025-07-24 10:17:07.375392
Jin Bala,23-3-0,,"5'9""",155lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Balajin,23-4-0,The Snow Leopard,"5'9""",145lbs.,"72""",Orthodox,"Mar31,1992",1.40,33%,2.73,50%,2.00,20%,66%,0.0,2025-07-24 10:17:07.375392
Oluwale Bamgbose,6-4-0,Holy War Angel,"5'11""",185lbs.,"78""",Switch,"Aug04,1987",2.45,48%,2.70,55%,0.94,33%,37%,0.0,2025-07-24 10:17:07.375392
Stephen Banaszak,5-5-0,,"6'0""",145lbs.,--,,"Dec07,1990",4.20,47%,1.15,66%,0.00,0%,100%,1.9,2025-07-24 10:17:07.375392
Marcin Bandel,15-7-0,Bomba,"5'10""",155lbs.,--,Orthodox,"Oct10,1989",0.79,50%,5.26,23%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Humberto Bandenay,14-7-0 (1 NC),,"5'11""",145lbs.,"71""",Southpaw,"Sep04,1994",2.22,41%,4.79,41%,2.90,46%,62%,0.5,2025-07-24 10:17:07.375392
Tae Hyun Bang,18-10-0,Supernatural,"5'9""",155lbs.,"71""",Switch,"Apr15,1983",2.72,38%,2.07,66%,0.49,33%,57%,0.5,2025-07-24 10:17:07.375392
Yohan Banks,2-1-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Shauna Bannon,7-1-0,Mama B,"5'5""",115lbs.,"65""",Switch,"Oct23,1993",4.77,43%,3.88,44%,0.00,0%,42%,0.8,2025-07-24 10:17:07.375392
Antonio Banuelos,20-11-1,,"5'5""",135lbs.,"63""",Orthodox,"Sep23,1979",2.69,33%,3.15,58%,1.62,62%,86%,0.4,2025-07-24 10:17:07.375392
Iwo Baraniewski,5-0-0,,--,205lbs.,--,,"Nov20,1998",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Renan Barao,34-9-0 (1 NC),The Baron,"5'6""",145lbs.,"70""",Orthodox,"Jan31,1987",3.78,36%,3.90,57%,1.49,41%,91%,0.5,2025-07-24 10:17:07.375392
Junior Barata,9-3-1,,"5'10""",170lbs.,--,Orthodox,"Jan25,1982",4.03,33%,8.46,34%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Maycee Barber,14-2-0,The Future,"5'5""",125lbs.,"65""",Switch,"May18,1998",4.70,53%,2.90,54%,1.44,43%,53%,0.1,2025-07-24 10:17:07.375392
Bryan Barberena,18-12-0,Bam Bam,"6'0""",185lbs.,"72""",Southpaw,"May03,1989",5.35,48%,4.59,44%,0.13,22%,50%,0.3,2025-07-24 10:17:07.375392
Dani Barbir,7-0-0,,--,185lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Dione Barbosa,8-3-0,The Witch,"5'6""",125lbs.,"66""",Orthodox,"May08,1992",2.35,50%,2.73,67%,1.93,33%,42%,2.3,2025-07-24 10:17:07.375392
Marcio Barbosa,16-2-0,Ticoto,--,145lbs.,--,,"May22,1998",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Edson Barboza,24-12-0,Junior,"5'11""",155lbs.,"75""",Orthodox,"Jan21,1986",4.11,44%,4.65,56%,0.45,50%,72%,0.1,2025-07-24 10:17:07.375392
Raoni Barcelos,20-5-0,,"5'7""",135lbs.,"67""",Orthodox,"May01,1987",4.87,52%,4.40,60%,2.33,33%,85%,0.6,2025-07-24 10:17:07.375392
Daniel Barez,17-7-0,,"5'6""",125lbs.,"66""",Orthodox,"Dec10,1988",3.65,49%,5.95,50%,1.93,28%,80%,0.6,2025-07-24 10:17:07.375392
Danny Barlow,9-1-0,LeftHand2God,"6'2""",170lbs.,"79""",Southpaw,"Aug02,1995",5.62,50%,3.70,51%,0.00,0%,100%,0.0,2025-07-24 10:17:07.375392
Luke Barnatt,13-4-0,The Bigslow,"6'6""",185lbs.,"77""",Orthodox,"Apr13,1988",4.43,36%,3.87,59%,0.63,42%,63%,0.4,2025-07-24 10:17:07.375392
James Barnes,14-5-0,Mooka,"5'8""",135lbs.,"71""",Orthodox,"May28,1982",0.57,34%,3.02,39%,1.08,16%,40%,0.0,2025-07-24 10:17:07.375392
Nick Barnes,11-2-0,,"5'11""",170lbs.,--,,--,2.86,29%,8.93,51%,5.36,100%,100%,5.4,2025-07-24 10:17:07.375392
Shonte Barnes,6-2-1,Shyne,"5'11""",185lbs.,"76""",Southpaw,"Feb09,1987",2.32,38%,1.55,67%,0.00,0%,60%,0.0,2025-07-24 10:17:07.375392
Josh Barnett,35-8-0,The Warmaster,"6'3""",250lbs.,"78""",Orthodox,"Nov10,1977",3.20,50%,2.11,57%,1.26,55%,55%,1.4,2025-07-24 10:17:07.375392
Chris Barnett,23-9-0,Beastboy,"5'9""",265lbs.,"75""",Orthodox,"Jun14,1986",4.21,47%,6.53,39%,0.00,0%,33%,0.0,2025-07-24 10:17:07.375392
Chris Barnhizer,2-3-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
David Baron,17-4-1,,"5'6""",155lbs.,--,Switch,"Feb15,1973",1.17,30%,2.10,56%,0.00,0%,14%,0.7,2025-07-24 10:17:07.375392
Phil Baroni,15-18-0,The New York Bad Ass,"5'9""",170lbs.,"72""",Orthodox,"Apr16,1976",2.77,45%,3.93,40%,1.46,47%,60%,0.5,2025-07-24 10:17:07.375392
Dan Barrera,3-1-0,The Fireman,"5'9""",170lbs.,--,Orthodox,"Dec23,1980",0.80,70%,1.20,28%,1.00,8%,0%,0.0,2025-07-24 10:17:07.375392
Carlos Barreto,14-9-0,,"6'4""",230lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Jose Barreto,0-1-0,,--,185lbs.,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Peter Barrett,11-5-0,Slippery,"5'10""",145lbs.,"73""",Southpaw,"Aug10,1986",4.18,61%,4.32,42%,1.39,22%,66%,0.0,2025-07-24 10:17:07.375392
Marc-Andre Barriault,17-9-0 (1 NC),Powerbar,"6'1""",185lbs.,"74""",Orthodox,"Feb18,1990",6.02,47%,5.57,52%,0.21,25%,67%,0.1,2025-07-24 10:17:07.375392
David Barrios,4-8-0,,"5'6""",145lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Alexandre Barros,22-11-0,Baixinho,"5'9""",170lbs.,--,Southpaw,"Nov19,1976",0.98,40%,4.05,36%,1.84,50%,100%,0.0,2025-07-24 10:17:07.375392
Ricardo Barros,2-2-0,,"6'1""",205lbs.,--,,"Mar22,1976",0.00,0%,8.22,31%,0.00,0%,100%,0.0,2025-07-24 10:17:07.375392
Francimar Barroso,19-7-0 (1 NC),Bodao,"6'1""",205lbs.,"75""",Orthodox,"Feb28,1980",2.77,52%,3.07,59%,2.22,24%,83%,0.0,2025-07-24 10:17:07.375392
Pat Barry,8-7-0,HD,"5'11""",235lbs.,"74""",Orthodox,"Jul07,1979",2.72,52%,3.54,59%,0.00,0%,76%,0.2,2025-07-24 10:17:07.375392
Dean Barry,4-2-0,The Sniper,"5'10""",170lbs.,"72""",Orthodox,"Jul03,1992",9.31,40%,4.66,51%,0.00,0%,100%,0.0,2025-07-24 10:17:07.375392
Enrique Barzola,17-5-2,El Fuerte,"5'7""",145lbs.,"70""",Orthodox,"Apr28,1989",3.91,41%,2.97,68%,4.20,45%,66%,0.3,2025-07-24 10:17:07.375392
Javid Basharat,14-2-0 (1 NC),The Snow Leopard,"5'9""",135lbs.,"69""",Orthodox,"Sep07,1995",5.41,53%,2.96,61%,1.62,40%,83%,0.2,2025-07-24 10:17:07.375392
Farid Basharat,13-0-0,Ferocious,"5'8""",135lbs.,"71""",Orthodox,"Aug02,1997",4.36,55%,2.57,59%,3.97,44%,80%,0.5,2025-07-24 10:17:07.375392
Austin Bashi,13-1-0,,"5'6""",145lbs.,"70""",Orthodox,"Sep29,2001",1.94,48%,2.71,46%,8.39,39%,62%,1.3,2025-07-24 10:17:07.375392
Stephen Bass,11-2-0,Bigfish,"5'9""",145lbs.,--,Orthodox,"Nov14,1982",4.87,52%,5.87,55%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Sean Bassett,0-4-0,,--,155lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Ryan Bastianelli,6-7-0 (1 NC),Relentless,"5'5""",135lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Shayna Baszler,15-11-0,The Queen of Spades,"5'7""",135lbs.,--,Orthodox,"Aug08,1980",2.49,30%,6.36,51%,0.67,18%,44%,1.3,2025-07-24 10:17:07.375392
Namsrai Batbayar,8-1-0,Steppe Warrior,"5'4""",125lbs.,"68""",Orthodox,"Dec29,2000",3.57,37%,4.01,47%,3.25,33%,0%,0.0,2025-07-24 10:17:07.375392
Michel Batista,4-1-0 (1 NC),,"6'3""",260lbs.,--,Orthodox,"Apr20,1984",0.00,0%,4.03,40%,6.72,50%,0%,0.0,2025-07-24 10:17:07.375392
Bryan Battle,13-2-0 (1 NC),The Butcher,"6'1""",185lbs.,"77""",Orthodox,"Sep21,1994",5.12,52%,4.11,44%,0.77,17%,53%,0.4,2025-07-24 10:17:07.375392
Alan Baudot,8-3-0 (2 NC),The Black Samourai,"6'3""",243lbs.,"79""",Orthodox,"Feb01,1988",5.36,58%,4.82,46%,0.00,0%,62%,0.0,2025-07-24 10:17:07.375392
Mario Bautista,16-2-0,,"5'9""",135lbs.,"69""",Switch,"Jul01,1993",6.13,49%,4.45,55%,1.67,33%,67%,0.8,2025-07-24 10:17:07.375392
Chris Beal,10-5-0,Real Deal,"5'7""",125lbs.,"69""",Orthodox,"Aug06,1985",3.45,35%,3.18,61%,1.60,58%,78%,0.2,2025-07-24 10:17:07.375392
Donovan Beard,7-2-0,The Highlight Reel,"6'2""",185lbs.,"78""",Orthodox,"Nov05,1989",0.00,0%,5.77,28%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Rudy Bears,16-15-0,,"5'11""",170lbs.,--,Southpaw,--,1.27,29%,2.53,50%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Salvador Becerra,5-2-0,,"5'9""",155lbs.,--,,--,4.57,31%,3.83,58%,0.00,0%,66%,0.0,2025-07-24 10:17:07.375392
Ariel Beck,4-5-0,,"5'6""",125lbs.,"66""",Southpaw,"Sep16,1990",4.44,34%,4.31,64%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Jack Becker,13-6-0,,"5'8""",155lbs.,"71""",Orthodox,"Dec20,1992",1.01,39%,5.82,26%,1.68,50%,0%,0.0,2025-07-24 10:17:07.375392
